Name,Price,Unit
Smoked salmon "Labeyrie" 75g,4990
Smoked salmon "Labeyrie" 75g,5750
Chocolate candies collection "Terkenlis Mix Mini" 400g,6890
Red caviar "Labeyrie" 80g,7950
Chocolate candies collection "Terkenlis Mix" 500g,8390
Jamon "Cinco Jotas" 70g,9900
Red caviar "Labeyrie" 80g,13950
Chocolate candies collection "Terkenlis" 950g,15500
Christmas decoration,18000
Duck liver pate "Labeyrie Classique" 150g,18950
Goose liver pate "Labeyrie Classique" 150g,18950
Christmas decoration,20000
Goose liver pate "Labeyrie Raffine" 190g,28950
Duck liver pate "Labeyrie Raffine" 190g,28950
Christmas decoration,29000
Christmas decoration,29000
Composition "Raffaello",30000
Christmas decoration,38000
Jamon "Cinco Jotas",79000
Jamon "Cinco Jotas",89000
